Id,SalePrice
1461,124591.25702803092
1462,141935.0203356735
1463,189311.37660004423
1464,180924.2759542061
1465,188068.8811975149
1466,166624.36514646068
1467,161901.09139486932
1468,159487.23870332653
1469,179422.25074199025
1470,137154.83630577146
1471,153440.95385111988
1472,99920.92265554152
1473,105429.69144443417
1474,142301.77508386216
1475,101996.06540928748
1476,375967.1034939254
1477,247195.89493136332
1478,273728.12480330106
1479,283335.6389517835
1480,503435.8657110726
1481,330104.31742482644
1482,201872.22412116622
1483,172100.21889521388
1484,170206.70940309248
1485,168202.92173946297
1486,186488.34471514658
1487,344365.2829230032
1488,219270.8430766101
1489,189262.48035236433
1490,244424.27173154362
1491,196486.27212878413
1492,84143.00655307583
1493,116932.16633595216
1494,323310.9488974064
1495,285119.68616010365
1496,253101.92756433238
1497,189585.9625819617
1498,181726.78021020853
1499,165934.9895810527
1500,167127.51415852734
1501,185911.13081813106
1502,153937.90836732739
1503,18857.548222285714
1504,229771.25066342868
1505,218451.1320267011
1506,214406.81651087126
1507,261353.05294337033
1508,170534.35889046846
1509,157670.74174772672
1510,142864.85226876146
1511,180083.79546192798
1512,173106.27931510232
1513,112553.77670104192
1514,174361.4209122839
1515,180410.94298239626
1516,142082.2888593611
1517,154943.95653974314
1518,136832.77554857073
1519,187162.78832647603
1520,130733.1046706872
1521,122924.65034921323
1522,185655.1989035476
1523,110176.76556910474
1524,131156.79769182383
1525,147629.30924944783
1526,108119.24769953267
1527,108786.32317162961
1528,141407.6533694069
1529,155830.87264046023
1530,192303.77347894793
1531,111920.51505689842
1532,86419.91638768664
1533,128878.6692067333
1534,74129.1382467063
1535,132634.22304563186
1536,128974.4370118217
1537,56190.26307640468
1538,155879.94226118716
1539,174512.5184786718
1540,82756.34621956765
1541,165818.23907198675
1542,173417.47955009525
1543,169708.31522107605
1544,111596.00803049708
1545,116597.50426608471
1546,153130.00148661973
1547,157922.2562486808
1548,142323.32192943772
1549,103975.06300775889
1550,124767.45105741912
1551,81585.78751021164
1552,156344.6993212291
1553,121184.69770668143
1554,131662.2014649681
1555,185286.78691424322
1556,91740.10568721082
1557,105175.33668474146
1558,93460.88312131273
1559,87800.72399314209
1560,162200.0982474494
1561,84554.72561774791
1562,131815.77213762063
1563,115254.01297027897
1564,143823.73465717593
1565,169833.07484390915
1566,242453.51002267186
1567,81288.38677084439
1568,237871.60774607598
1569,147352.07593226657
1570,126406.1249371544
1571,139585.3960505618
1572,134313.12996129767
1573,252448.2239393082
1574,50722.457757722776
1575,224718.06846058246
1576,198594.89860825604
1577,181911.86305818034
1578,118956.14835262742
1579,141834.41814270258
1580,171698.0234226062
1581,100012.58864502197
1582,110612.60656338082
1583,299322.73073691264
1584,223581.55776812506
1585,139921.88739117325
1586,105044.24497205559
1587,130182.07594851004
1588,140135.92182572998
1589,82503.51339129773
1590,132827.3217910519
1591,102178.57322014042
1592,124217.86594194396
1593,130585.23435687677
1594,98479.92998693803
1595,68234.25945877959
1596,212658.7902965036
1597,208883.11611739566
1598,201806.3266937381
1599,71775.33985181426
1600,63716.49320664729
1601,82610.53185165497
1602,126719.6807966307
1603,81941.19174665293
1604,238356.7920160429
1605,214487.49640435955
1606,172126.84537607813
1607,167801.75954416956
1608,208900.32511944798
1609,171113.6395054514
1610,138479.79635277347
1611,144569.10665900193
